state,year,quater,total_amount,query,transacion_type,yearly_amount
dadra-&-nagar-haveli-&-daman-&-diu,2024,3.0,21564631566.0,Query 1,,
dadra-&-nagar-haveli-&-daman-&-diu,2024,4.0,23945221461.0,Query 1,,
delhi,2018,1.0,11211503806.919962,Query 1,,
delhi,2018,2.0,17446299902.205147,Query 1,,
delhi,2018,3.0,27375846860.61856,Query 1,,
delhi,2018,4.0,39722857618.7064,Query 1,,
delhi,2019,1.0,58469131789.49728,Query 1,,
delhi,2019,2.0,81706816063.62831,Query 1,,
delhi,2019,3.0,103196812046.45686,Query 1,,
delhi,2019,4.0,129024467424.89069,Query 1,,
delhi,2020,1.0,133616543642.59009,Query 1,,
delhi,2020,2.0,107873438203.33102,Query 1,,
delhi,2020,3.0,175163962804.66064,Query 1,,
delhi,2020,4.0,216265088224.5435,Query 1,,
delhi,2021,1.0,266928345043.49265,Query 1,,
delhi,2021,2.0,281941097684.5414,Query 1,,
delhi,2021,3.0,383858316548.28107,Query 1,,
delhi,2021,4.0,488695314062.3912,Query 1,,
delhi,2022,1.0,536964920836.28876,Query 1,,
delhi,2022,2.0,629855650458.2168,Query 1,,
delhi,2022,3.0,677612647116.1163,Query 1,,
delhi,2022,4.0,744915016018.5758,Query 1,,
delhi,2023,1.0,611403109580.0,Query 1,,
delhi,2023,2.0,661728515657.0,Query 1,,
delhi,2023,3.0,708199251438.0,Query 1,,
delhi,2023,4.0,799649719349.0,Query 1,,
delhi,2024,1.0,832514031113.0,Query 1,,
delhi,2024,2.0,896917676180.0,Query 1,,
delhi,2024,3.0,958203383588.0,Query 1,,
delhi,2024,4.0,1057060485903.0,Query 1,,
goa,2018,1.0,303856742.34308386,Query 1,,
goa,2018,2.0,478603825.35861516,Query 1,,
goa,2018,3.0,713166969.2382339,Query 1,,
goa,2018,4.0,1153005078.922405,Query 1,,
goa,2019,1.0,1475323397.2765768,Query 1,,
goa,2019,2.0,1591867103.3876162,Query 1,,
goa,2019,3.0,2000367191.4968417,Query 1,,
goa,2019,4.0,2923460348.499468,Query 1,,
goa,2020,1.0,3410371231.9237623,Query 1,,
goa,2020,2.0,2183616430.0167723,Query 1,,
goa,2020,3.0,3368343580.94466,Query 1,,
goa,2020,4.0,6899792747.579934,Query 1,,
goa,2021,1.0,9757242879.021425,Query 1,,
goa,2021,2.0,8012853587.076005,Query 1,,
goa,2021,3.0,10478425592.936369,Query 1,,
goa,2021,4.0,18627257115.869656,Query 1,,
goa,2022,1.0,19816445402.846115,Query 1,,
goa,2022,2.0,22873037759.5202,Query 1,,
