device_brand,total_registered,total_opens,query,year,quarter,registered,opens,engagement_rate,state
Apple,,,Query 3,,,840584.0,28908146.0,,ladakh
OnePlus,,,Query 3,,,840584.0,28908146.0,,ladakh
Motorola,,,Query 3,,,840584.0,28908146.0,,ladakh
Lenovo,,,Query 3,,,840584.0,28908146.0,,ladakh
Others,,,Query 3,,,840584.0,28908146.0,,ladakh
Huawei,,,Query 3,,,818882.0,28908146.0,,ladakh
Micromax,,,Query 3,,,21702.0,0.0,,ladakh
Samsung,,,Query 3,,,51138.0,411275.0,,lakshadweep
Xiaomi,,,Query 3,,,51138.0,411275.0,,lakshadweep
Vivo,,,Query 3,,,51138.0,411275.0,,lakshadweep
Oppo,,,Query 3,,,51138.0,411275.0,,lakshadweep
Huawei,,,Query 3,,,51138.0,411275.0,,lakshadweep
OnePlus,,,Query 3,,,51138.0,411275.0,,lakshadweep
Apple,,,Query 3,,,51138.0,411275.0,,lakshadweep
Realme,,,Query 3,,,51138.0,411275.0,,lakshadweep
Others,,,Query 3,,,51138.0,411275.0,,lakshadweep
Lenovo,,,Query 3,,,50637.0,411275.0,,lakshadweep
Motorola,,,Query 3,,,49033.0,411275.0,,lakshadweep
Gionee,,,Query 3,,,2105.0,0.0,,lakshadweep
COOLPAD,,,Query 3,,,501.0,0.0,,lakshadweep
Xiaomi,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
Samsung,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
Vivo,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
Oppo,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
Realme,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
Motorola,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
Apple,,,Query 3,,,180662446.0,6502197576.0,,madhya-pradesh
